content,score,Sentimen
"Tagihan sudah di bayar dan limit sudah kembali. Tapi pas mau di pakai lagi paylater Bukalapak malah gak bisa sudah hampir 1bulan, konyol. Sudah di hapus di instal lagi dihapus di instal lagi hampir 10kali masih tetep pembayaran paylater Bukalapak tetep ga bisa. Diketerangan sedang terjadi gangguan sistem, sistem hancur kacau, kembali duit ku woi ajig sumpah mending jgn di download ini apak rugi"" aku menyarankan kalian yg mau download untuk jgn di download malah dia"" nanti duit kalian.",1,Negatif
"Saldo banyak karena sebelumnya pakai aplikasi yang versi lama, tapi sekarang saldonya jadi panjangan doang, ga bisa dipakai untuk bayar bayar",1,Negatif
trima kasih sangat membantu untuk belanja barang,5,Positif
Jgn pernah menghubungkan akun Bukalapak dgn akun dana karena tempatnya sarang penipuan sisanya lemah tentang penipuan sangat mudah. Sudah banyak teman kena tipu di aplikasi ini dan dana.. termasuk sy pribadi kena pas komplein penipuan malah akun Bukalapak sy di non aktifkan..,2,Negatif
Kenapa saya tidak melakukan transaksi pembelian apapun kenapa saldo didana saya terpotong,1,Negatif
Knpa saldo sya tidak segera di kembalikan padahal saya tidak pernah merasa membeli sesuatu di bukalapak ini tolong di kembalikan saldo dana saya yang di sedot sama bukalapak,1,Negatif
saya beli hp di sini hilang saat pengiriman tp uang tidak kembali saat th 2018 . komplain juga tidak d tanggapi,1,Negatif
Mengajukan penggantian no karena no lama hilang eh gagal terus pas ferifikasi poto KTP sama selfi. Padahal udah jelas banget foto nya tetap saja notif nya foto tidak terbaca sistem. Mengajukan formulir penggantian tetap saja hk bisa ngirim formulir nya. Perbaikin dong sistem nya. Dan syarat pengajuan nya di bikin ringkas lagi.,2,Negatif
Pertama x belanja online dr aplikasi ini padahal menu nya makin lama makin berkurang. Skr paylater di bayar terus SM limit full LG mlhan GK bsa di pakai .. ya udh dech kita uninstall aja. Goodbye bukalapak,1,Negatif
Sepi banget sekarang jualan dibukalapak. 1tahun lebih blm laku 1 barang pun...,5,Positif
"Gak nyaman,, gak bisa COD, terpaksa tak hapus saja, karena apl yg lain bisa COD, terimakaaih",1,Negatif
"Dulu saya kasih bintang 5,maa skg saya ksh bintang satu,bukanya tambah baik malah makin mundur,paylater byr tdk pernah telat tp tiba2 skg tdk bisa di pake. Auto uninstall Bukalapak",1,Negatif
"Udh males jual lapak disini, potongan dagangan kita gede bgt,, untung ga seberapa.. Apa lagi saingan harga dari apk laen nya yg murah pula jg.. W apus smuah dagangan w disini..",1,Negatif
"Blm terlambat aj udh kena teror seharian Giliran di bayar playlater nya eehhh...limit malah GK bs dipakai lagi,mo uninstall aj",2,Negatif
Saya sangat senang sekali di akun Bukalapak memberi jaminan mutu dan kualitas terjamin aman,5,Positif
Apk banyak penipuan Keluhan di pusat akun Malah di nonaktifkan akunya Pokoknya aplikasi gak ada tanggung jawab nya,1,Negatif
Aplikasi paling lemot gk jelas gk niat buat aplikasi,1,Negatif
Kak saya mautanya kenapa apk BUKALAPAK tiba2 menyedot saldo apk DANA saya padahal saya belum pernah order apapun di apk Bukalapak bahkan apk nya pun belum pernah saya install..mohon bantuannya agar saldo saya di kembalikan🙏🙏,1,Negatif
Bukalapak sangat berperan penting sebagai partner dari skill Academy. Menjadi jembatan untuk kita dapat membeli pelatihan yg kita inginkan. Terimakasih Bukalapak.,5,Positif
bos tlong diperbaiki eror terus,5,Positif
"Kecewa sama Bukalapak.. bertahun2 pake paylater Bukalapak buat beli pulsa/data , malah sekarang beli sudah tidak bisa lagi beli pulsa/data pakai paylater..padahal pembayaran Saya bagus selalu tepat waktu , Kalau beli pulsa/data tidak bisa pakai paylater lebih baik Saya beli di counter pulsa aja secara offline..lebih murah malah",1,Negatif
"Selama ini beli pulsa pake paylater bisa , tapi kenapa sekarang tidak bisa",2,Negatif
"Sangat tidak recommended untuk belanja online. Gak ada gratis ongkir sama voucher potong harga, yang terbaik cuma toko hijau, oren, sama laz. Kalau ga ada perkembangan saya yakin cepat atau lambat bakal bangkrut",1,Negatif
"Lama lama gak profesional. Bayar tidak pernah lewat dari waktu yg di tentukan ,malah tidak bisa gunain saldonya .ih malesin banget .",1,Negatif
Gunakan pembayaran via paylater by kredivo tapi kenapa tidak bisa digunakan.....tolong dibantu tks..,5,Positif
Mau jadi seller aja acc nya susah banget pantes ga bisa maju wong yang jual produknya terbatas,1,Negatif
Paylater tdk bisa di gunakan pertanda apa ya? pindah dulu ke aplikasi sebelah yg masih lancar jaya,1,Negatif
aplikasi ini kebiasaan mencuri uang saya di dana sblum nya saya tidak pernah ada pinjaman apapun tidak pernah ilang saldo ini aplikasi kaya taik!!!! Balikkin saldo gw,1,Negatif
"Aplikasi yg sangat bagus, lebih bagus lg klu Limitnya di Naikin alias ditambah.",5,Positif
Transaksi mudah lancar tks bukalapak kredivo.,5,Positif
Maaf ya d ganti rating nya karna paylater nya gak bisa d pake lagi . Tau gtu ntar2n bayar nya,1,Negatif
"Saya biasa menggunakan PAYLATER BUKALAPAK by Kredivo hanya untuk Beli Token Listrik dan Paket Data internet. Entah kenapa sejak akhir bulan MEI sudah tidak bisa beli token Listrik dan Paket data. Mulai detik ini saya UNINSTALL BUKALAPAK, APLIKASI TIDAK BERMUTU",1,Negatif
"Sering belanja pulsa listrik dan bayar air tapi sekarang play later kredivo saya sudah dibekukan tidak bisa digunakan lagi meski lancar pembayaran,. Ok terimakasih Bukalapak saya sudah dari 2016 langganan.",5,Positif
"Payletr gk bisa dipake,makin kesini makin gk jelas bukalapak,,hrus uninstal rame rame kya nya,,",2,Negatif
"Ini sudah sangat bagus, aplikasi to the point, tidak ada iklan/penawaran ini-itu sampai menutup halaman aplikasi, mengganggu konsentrasi belanja. Sekarang pikiran jadi tenang saat belanja. Meski ada biaya 1rb tiap transaksi, tdk jadi masalah, karena perusahaan harus ada profit untuk biaya operasional dll, jangan bakar uang terus-terusan. Saran, sepertinya transaksi rutin tdk bisa dibuka, mohon diperbaiki, tks!",5,Positif
Pay later udah dibayar. Malah gabisa dipake,1,Negatif
Tlg untuk paylater nya kalo udah gak bisa lagi di gunakan embel2 nya di hapus . Dan kalo memang masih bisa tlg di perbaiki. Karna kalo gak jls seperti itu user pengguna aplikasi pasti akan memilih pindah aplikasi dan kalian akan tutup. Kalo jls palinggak user dapan memahami dan tentu masih bertransaksi seperti biasa.,1,Negatif
"Ada limit paater 500rb tali gak bisa digunakan dengan keterangan ""sedang Gangguan sistem"" sudah 2bulan tidak bisa digunakan parah banget",1,Negatif
"Apk gak terpakai. pertanggal 31 mei paylatet kredivo sudah tidak bisa di gunakan, selamanya.. karna di putus hungan kerja.. antara kredivo dan bukalapak.. jadi ini apk.. kalo gak ada paylater.. pasti 97%.. gak bakal di pakai..",1,Negatif
"Bukalapak sangat terburuk,duit sy 700.323 gx bisa di kembaliin,masa mw pengembalian hrs ada saldo dana 500rb parah sekali aplikasi ini",1,Negatif
Kenapa Bukalapak paylater ga bisa dipake lagi padahal udah berusaha bayar tagihan..parah banget ah..padahal dulu Bukalapak paylater jadi andalan.ga ada juga kejelasan kenapa ga bisa dipake.,1,Negatif
Aplikasi apa ni saya complain karena dompet dana saya ada yng bobol bukannya tanggung jawab eh mala akun sya di nonaktifkan menghilangkan BB to gak mau di Coplain........... Ksh kembali uang saya,1,Negatif
Di bukalapak sistem returan barangnya kacau sangat di persulit. Returan harus pakai buka send tp tidak bisa dibuka selalu force close. Dikirm secara manual sistem tidak bisa. Seolah tidak Terima returan. Chat admin ribetnya minta ampun. Klo tidak perbaiki sistemnya . Pada kabur ke toko sebelah,1,Negatif
Msh pakai BL gegara dpt limit paylater itu jg cm buat bayar tagihan internet dan beli pulsa dsb. Berhubung paylaternya sdh tdk bs digunakan buat belanja meski limit full dan ga ada tunggakan. Jd sdh tidak ada alasan utk memakai aplikasi ini!! Byee BL kamu kalah saing dgn yg lain...,1,Negatif
Pembayaran produk indihome lagi perbaikan ? kredivo gak bisa terbayar ...amsyong dah bukalapak ini...aplikasi tertolol gara gara sistem bukalapak gw jadi kena denda dan gak bisa dipake paylatter nya...muncul tagihan bayar tapi di klik gak bisa..ini aplikasi niat nya apa yakkk,1,Negatif
"saya punya saldo Bukalapak mau saya pindahakan akan tetapi gak bisa di pindahkan ke Aplikasi DANA, Setelah transaksi di batalkan otomatis (Refund)",1,Negatif
"tbtb saldo di bekuin sama PIHAK BUKALAPAK SNDRI udh hampir 1 bulan gabisa dipke, itu saldo abis top up bukan hasil macem"" parah bgt udh 2 kali hub cs ttp nihil, dan banyak rekanku yg blg BUKALAPAK emg bakatnya kek gt main bekuin aja pdhl gw butuh duit",1,Negatif
"Buka dompet dibekukan dengan alasan keamanan yang tidak jelas,jelas jelas saya melakukan top up untuk diri saya sendiri,malah saldo dana saya ditarik sepihak oleh buka lapak,dan waktu mau mencairkan dana dipersulit CS buka lapak serasa ga berguna TIDAK ADA SOLUSI",1,Negatif
Saya kurangi lagi bintang nya soalnya sudah dibayar pas mau pake sudah 1 bulan gak bisa dipake lagi..mau saya delet sekalian,1,Negatif
Ada limit paylater 500ribu tapi sama sekali gak bisa digunakan dengan alesan gangguan sistem entah sampai kapan gangguan sistem karena sudah 1 bulan lebih tidak bisa .,1,Negatif
Kenapa paylater bukalapak sudah ngk bisa dipakai lagi yah ?,2,Negatif
Tiap masukkan kode otp terbaru selalu sudah kadaluarsa padahal itu baru beberapa detik dbuka saat dmasukkan gak bisa. Mohon bantuannya,2,Negatif
"Pembayaran selalu gagal harus dibayar di tagihan baru bisa,error di hp redmi 4x",1,Negatif
"bukan nya lebih maju dan berinovasi,,malah yang ada di hilangkan ( paylater),,payahhhh🥺",1,Negatif
Tidak tau ada apa dg Bukalapak sampai2 sepi pembeli dan seperti tidak ada yg minat.. sungguh di sayangkan.. semoga saja bisa seperti dulu kala berjaya.. amiiinn,5,Positif
"Bagus, baik dan cepat",5,Positif
"Saya uninstal dari sekarang,tolong jangan gunakan data saya,saya tidak tanggung jawab,mkasih",1,Negatif
"Lapak seller tiba2 dibekukan, paylater ga bisa digunakan lg. Apk udah ga ada yg bisa diandalkan lg. UNINSTAL!",1,Negatif
"BL24193IEWJUINV tolong dong,pesanan dari kemarin ga dikirim. Dibatalin tidak bisa. Toko mau kirim hari Selasa. Males belanja ti BUKANLAPAK. udah gda gratis ongkir,pelayanan toko sangat mengecewakan",1,Negatif
