content,score,Sentimen,lowerCase,text_StopWord,text_tokens,text_stemindo
"Tagihan sudah di bayar dan limit sudah kembali. Tapi pas mau di pakai lagi paylater Bukalapak malah gak bisa sudah hampir 1bulan, konyol. Sudah di hapus di instal lagi dihapus di instal lagi hampir 10kali masih tetep pembayaran paylater Bukalapak tetep ga bisa. Diketerangan sedang terjadi gangguan sistem, sistem hancur kacau, kembali duit ku woi ajig sumpah mending jgn di download ini apak rugi"" aku menyarankan kalian yg mau download untuk jgn di download malah dia"" nanti duit kalian.",1,0,tagihan sudah di bayar dan limit sudah kembali tapi pas mau di pakai lagi paylater bukalapak malah gak bisa sudah hampir bulan konyol sudah di hapus di instal lagi dihapus di instal lagi hampir kali masih tetep pembayaran paylater bukalapak tetep ga bisa diketerangan sedang terjadi gangguan sistem sistem hancur kacau kembali duit ku woi ajig sumpah mending jgn di download ini apak rugi aku menyarankan kalian yg mau download untuk jgn di download malah dia nanti duit kalian,tagihan bayar limit pas pakai paylater bukalapak konyol hapus instal dihapus instal kali tetep pembayaran paylater bukalapak tetep diketerangan gangguan sistem sistem hancur kacau duit ku woi ajig sumpah mending jgn download apak rugi menyarankan download jgn download duit,"['tagihan', 'bayar', 'limit', 'pas', 'pakai', 'paylater', 'bukalapak', 'konyol', 'hapus', 'instal', 'dihapus', 'instal', 'kali', 'tetep', 'pembayaran', 'paylater', 'bukalapak', 'tetep', 'diketerangan', 'gangguan', 'sistem', 'sistem', 'hancur', 'kacau', 'duit', 'ku', 'woi', 'ajig', 'sumpah', 'mending', 'jgn', 'download', 'apak', 'rugi', 'menyarankan', 'download', 'jgn', 'download', 'duit']",tagih bayar limit pas pakai paylater bukalapak konyol hapus instal hapus instal kali tetep bayar paylater bukalapak tetep terang ganggu sistem sistem hancur kacau duit ku woi ajig sumpah mending jgn download apak rugi saran download jgn download duit
"Saldo banyak karena sebelumnya pakai aplikasi yang versi lama, tapi sekarang saldonya jadi panjangan doang, ga bisa dipakai untuk bayar bayar",1,0,saldo banyak karena sebelumnya pakai aplikasi yang versi lama tapi sekarang saldonya jadi panjangan doang ga bisa dipakai untuk bayar bayar,saldo pakai aplikasi versi saldonya panjangan doang dipakai bayar bayar,"['saldo', 'pakai', 'aplikasi', 'versi', 'saldonya', 'panjangan', 'doang', 'dipakai', 'bayar', 'bayar']",saldo pakai aplikasi versi saldo panjang doang pakai bayar bayar
trima kasih sangat membantu untuk belanja barang,5,1,trima kasih sangat membantu untuk belanja barang,trima kasih membantu belanja barang,"['trima', 'kasih', 'membantu', 'belanja', 'barang']",trima kasih bantu belanja barang
Jgn pernah menghubungkan akun Bukalapak dgn akun dana karena tempatnya sarang penipuan sisanya lemah tentang penipuan sangat mudah. Sudah banyak teman kena tipu di aplikasi ini dan dana.. termasuk sy pribadi kena pas komplein penipuan malah akun Bukalapak sy di non aktifkan..,2,0,jgn pernah menghubungkan akun bukalapak dgn akun dana karena tempatnya sarang penipuan sisanya lemah tentang penipuan sangat mudah sudah banyak teman kena tipu di aplikasi ini dan dana termasuk sy pribadi kena pas komplein penipuan malah akun bukalapak sy di non aktifkan,jgn menghubungkan akun bukalapak dgn akun dana tempatnya sarang penipuan sisanya lemah penipuan mudah teman kena tipu aplikasi dana sy pribadi kena pas komplein penipuan akun bukalapak sy non aktifkan,"['jgn', 'menghubungkan', 'akun', 'bukalapak', 'dgn', 'akun', 'dana', 'tempatnya', 'sarang', 'penipuan', 'sisanya', 'lemah', 'penipuan', 'mudah', 'teman', 'kena', 'tipu', 'aplikasi', 'dana', 'sy', 'pribadi', 'kena', 'pas', 'komplein', 'penipuan', 'akun', 'bukalapak', 'sy', 'non', 'aktifkan']",jgn hubung akun bukalapak dgn akun dana tempat sarang tipu sisa lemah tipu mudah teman kena tipu aplikasi dana sy pribadi kena pas komplein tipu akun bukalapak sy non aktif
Kenapa saya tidak melakukan transaksi pembelian apapun kenapa saldo didana saya terpotong,1,0,kenapa saya tidak melakukan transaksi pembelian apapun kenapa saldo didana saya terpotong,transaksi pembelian apapun saldo didana terpotong,"['transaksi', 'pembelian', 'apapun', 'saldo', 'didana', 'terpotong']",transaksi beli apa saldo dana potong
Knpa saldo sya tidak segera di kembalikan padahal saya tidak pernah merasa membeli sesuatu di bukalapak ini tolong di kembalikan saldo dana saya yang di sedot sama bukalapak,1,0,knpa saldo sya tidak segera di kembalikan padahal saya tidak pernah merasa membeli sesuatu di bukalapak ini tolong di kembalikan saldo dana saya yang di sedot sama bukalapak,knpa saldo sya kembalikan membeli bukalapak tolong kembalikan saldo dana sedot bukalapak,"['knpa', 'saldo', 'sya', 'kembalikan', 'membeli', 'bukalapak', 'tolong', 'kembalikan', 'saldo', 'dana', 'sedot', 'bukalapak']",knpa saldo sya kembali beli bukalapak tolong kembali saldo dana sedot bukalapak
saya beli hp di sini hilang saat pengiriman tp uang tidak kembali saat th 2018 . komplain juga tidak d tanggapi,1,0,saya beli hp di sini hilang saat pengiriman tp uang tidak kembali saat th   komplain juga tidak d tanggapi,beli hp hilang pengiriman uang th komplain d tanggapi,"['beli', 'hp', 'hilang', 'pengiriman', 'uang', 'th', 'komplain', 'd', 'tanggapi']",beli hp hilang kirim uang th komplain d tanggap
Mengajukan penggantian no karena no lama hilang eh gagal terus pas ferifikasi poto KTP sama selfi. Padahal udah jelas banget foto nya tetap saja notif nya foto tidak terbaca sistem. Mengajukan formulir penggantian tetap saja hk bisa ngirim formulir nya. Perbaikin dong sistem nya. Dan syarat pengajuan nya di bikin ringkas lagi.,2,0,mengajukan penggantian no karena no lama hilang eh gagal terus pas ferifikasi poto ktp sama selfi padahal udah jelas banget foto nya tetap saja notif nya foto tidak terbaca sistem mengajukan formulir penggantian tetap saja hk bisa ngirim formulir nya perbaikin dong sistem nya dan syarat pengajuan nya di bikin ringkas lagi,mengajukan penggantian no no hilang eh gagal pas ferifikasi poto ktp selfi udah banget foto notif foto terbaca sistem mengajukan formulir penggantian hk ngirim formulir perbaikin sistem syarat pengajuan bikin ringkas,"['mengajukan', 'penggantian', 'no', 'no', 'hilang', 'eh', 'gagal', 'pas', 'ferifikasi', 'poto', 'ktp', 'selfi', 'udah', 'banget', 'foto', 'notif', 'foto', 'terbaca', 'sistem', 'mengajukan', 'formulir', 'penggantian', 'hk', 'ngirim', 'formulir', 'perbaikin', 'sistem', 'syarat', 'pengajuan', 'bikin', 'ringkas']",aju ganti no no hilang eh gagal pas ferifikasi poto ktp selfi udah banget foto notif foto baca sistem aju formulir ganti hk ngirim formulir perbaikin sistem syarat aju bikin ringkas
Pertama x belanja online dr aplikasi ini padahal menu nya makin lama makin berkurang. Skr paylater di bayar terus SM limit full LG mlhan GK bsa di pakai .. ya udh dech kita uninstall aja. Goodbye bukalapak,1,0,pertama x belanja online dr aplikasi ini padahal menu nya makin lama makin berkurang skr paylater di bayar terus sm limit full lg mlhan gk bsa di pakai  ya udh dech kita uninstall aja goodbye bukalapak,belanja online aplikasi menu berkurang paylater bayar limit full mlhan pakai dech uninstall goodbye bukalapak,"['belanja', 'online', 'aplikasi', 'menu', 'berkurang', 'paylater', 'bayar', 'limit', 'full', 'mlhan', 'pakai', 'dech', 'uninstall', 'goodbye', 'bukalapak']",belanja online aplikasi menu kurang paylater bayar limit full mlhan pakai dech uninstall goodbye bukalapak
Sepi banget sekarang jualan dibukalapak. 1tahun lebih blm laku 1 barang pun...,5,1,sepi banget sekarang jualan dibukalapak tahun lebih blm laku  barang pun,sepi banget jualan dibukalapak blm laku barang,"['sepi', 'banget', 'jualan', 'dibukalapak', 'blm', 'laku', 'barang']",sepi banget jual dibukalapak blm laku barang
"Gak nyaman,, gak bisa COD, terpaksa tak hapus saja, karena apl yg lain bisa COD, terimakaaih",1,0,gak nyaman gak bisa cod terpaksa tak hapus saja karena apl yg lain bisa cod terimakaaih,nyaman cod terpaksa hapus apl cod terimakaaih,"['nyaman', 'cod', 'terpaksa', 'hapus', 'apl', 'cod', 'terimakaaih']",nyaman cod paksa hapus apl cod terimakaaih
"Dulu saya kasih bintang 5,maa skg saya ksh bintang satu,bukanya tambah baik malah makin mundur,paylater byr tdk pernah telat tp tiba2 skg tdk bisa di pake. Auto uninstall Bukalapak",1,0,dulu saya kasih bintang maa skg saya ksh bintang satubukanya tambah baik malah makin mundurpaylater byr tdk pernah telat tp tiba skg tdk bisa di pake auto uninstall bukalapak,kasih bintang maa bintang satubukanya mundurpaylater byr telat auto uninstall bukalapak,"['kasih', 'bintang', 'maa', 'bintang', 'satubukanya', 'mundurpaylater', 'byr', 'telat', 'auto', 'uninstall', 'bukalapak']",kasih bintang maa bintang satubukanya mundurpaylater byr telat auto uninstall bukalapak
"Udh males jual lapak disini, potongan dagangan kita gede bgt,, untung ga seberapa.. Apa lagi saingan harga dari apk laen nya yg murah pula jg.. W apus smuah dagangan w disini..",1,0,udh males jual lapak disini potongan dagangan kita gede bgt untung ga seberapa apa lagi saingan harga dari apk laen nya yg murah pula jg w apus smuah dagangan w disini,males jual lapak potongan dagangan gede bgt untung saingan harga apk laen murah apus smuah dagangan,"['males', 'jual', 'lapak', 'potongan', 'dagangan', 'gede', 'bgt', 'untung', 'saingan', 'harga', 'apk', 'laen', 'murah', 'apus', 'smuah', 'dagangan']",males jual lapak potong dagang gede bgt untung saing harga apk laen murah apus smuah dagang
"Blm terlambat aj udh kena teror seharian Giliran di bayar playlater nya eehhh...limit malah GK bs dipakai lagi,mo uninstall aj",2,0,blm terlambat aj udh kena teror seharian giliran di bayar playlater nya eehhhlimit malah gk bs dipakai lagimo uninstall aj,blm terlambat kena teror seharian giliran bayar playlater eehhhlimit dipakai lagimo uninstall,"['blm', 'terlambat', 'kena', 'teror', 'seharian', 'giliran', 'bayar', 'playlater', 'eehhhlimit', 'dipakai', 'lagimo', 'uninstall']",blm lambat kena teror hari gilir bayar playlater eehhhlimit pakai lagimo uninstall
